DAYS,RATE
1,2.3
2,3
3,3.2
4,3
5,3.2
6,4.2
7,4.3
8,4.3
9,4.3
10,4.3
11,5.1
12,5.5
13,5.3
14,6
15,5.9
16,6
17,5.8
18,5.7
19,5.6
20,5.5
21,5.4
22,5.2
23,5.1
24,5
25,4.9
26,4.8
27,4.7
28,4.7
29,4.7
30,4.6
31,4.5
32,3.9
33,3.6
34,3.5
35,3.5
36,3.4
37,3.4
38,3.3
39,3.3
40,3.3
41,3.3
42,3.3
43,3.2
44,3.2
45,3.2
46,3.2
47,3.1
48,3.1
49,3.1
50,3
51,3
52,3
53,2.9
54,2.9
55,2.9
56,2.8
57,2.8
58,2.8
59,2.8
60,2.8
61,2.8
62,2.7
63,2.7
64,2.7
65,2.6
66,3
67,3.1
68,3.1
69,3
70,2.9
71,2.9
72,2.8
73,2.8
74,2.7
75,2.7
76,2.7
77,2.7
78,2.6
79,2.6
80,2.6
81,2.5
82,2.5
83,2.5
84,2.4
85,2.4
86,2.4
87,2.4
88,2.3
89,2.3
90,2.3
91,2.3
92,2.3
93,2.2
94,2.2
95,2.2
96,2.2
97,2.2
98,2.2
99,2.1
100,2.1
101,2.1
102,2.1
103,2.1
104,2.1
105,2.1
106,2
107,2
108,2
109,2
110,1.9
111,1.8923
112,1.8813
113,1.8624
114,1.845
115,1.829
116,1.818
117,1.8059
118,1.7905
119,1.7774
120,1.7753
121,1.756
122,1.749
123,1.74
124,1.7272
125,1.7113
126,1.7049
127,0.6378
128,1.4255
129,1.735
130,1.626
131,1.7084
132,1.6742
133,1.6562
134,1.636
135,1.6163
136,1.594
137,1.575
138,1.5635
139,1.5552
140,1.5407
141,1.5286
142,1.5262
143,1.5086
144,1.495
145,1.4782
146,1.476
147,1.47
148,1.459
149,1.4465
150,1.442
151,1.4345
152,1.4118
153,1.4047
154,1.4111
155,1.3867
156,1.3726
157,1.362
158,1.362
159,1.3675
160,1.339
161,1.3253
162,1.3166
163,1.3474
164,1.3206
165,1.326
166,1.3016
167,1.2708
168,1.2481
169,1.2377
170,1.2474
171,1.1322
172,1.1768
173,1.1635
174,1.1464
175,1.1501
176,1.1227
177,1.0634
178,1.0868
179,1.0918
180,1.0962
181,1.0881
182,1.1289
183,1.1393
184,1.1247
185,1.0564
186,1.0616
187,1.0833
188,1.0885
189,1.1105
190,1.0638
191,1.0364
192,1.0214
193,0.9989
194,0.9883
195,0.9571
196,0.8905
197,0.9019
198,0.9481
199,0.9054
200,0.9608
201,0.9856
202,0.9644
203,0.956
204,0.9748
205,0.9464
206,0.9443
207,0.9404
208,0.9468
209,0.9253
210,0.9063
211,0.8838
212,0.8901
213,0.851
214,0.8641
215,0.9232
216,0.8858
217,0.9022
218,0.8324
219,0.8002
220,0.8465
221,0.8303
222,0.8298
223,0.8264
224,0.8429
225,0.9757
226,1.0928
227,0.8552
228,0.9486
229,0.9626
230,0.9423
231,0.9127
232,0.607
233,1.0472
234,1.0024
235,0.9724
236,0.9697
237,0.1757
238,1.6148
239,0.4475
240,1.3077
241,1.308
242,1.0787
243,1.057
244,0.928
245,0.963
246,0.9682
247,0.9563
248,0.9161
249,0.9781
250,0.9629
251,1.0179
252,1.0196
253,1.0018
254,1.0706
255,1.051
256,0.9506
257,0.9341
258,0.9383
259,0.9025
260,0.8899
261,0.93
262,0.9243
263,0.8962
264,0.8969
265,0.8836
266,0.8708
267,0.8295
268,0.7787
269,0.8095
270,0.8106
271,0.8129
272,0.7926
273,0.8013
274,0.7167
275,0.7153
276,0.6526
277,0.7914
278,0.7291
279,0.7615
280,0.7133
281,0.6623
282,0.8072
283,0.701
284,0.3889
285,0.8071
286,0.5811
287,0.7782
288,0.733
289,0.5991
290,0.6959
291,0.7227
292,0.5672
293,0.6377
294,0.6119
295,0.6775
296,0.9071
297,0.7482
298,0.7215
299,0.6463
300,0.7274
301,0.7312
302,0.7292
303,0.7406
304,0.7091
305,0.6607
306,0.6753
307,0.7019
308,0.7062
309,0.6747
310,0.6395
311,0.6804
312,0.674
313,0.6524
314,0.6288
315,0.6597
316,0.6771
317,0.6531
318,0.6385
319,0.6457
320,0.6794
321,0.6807
322,0.694
323,0.712
324,0.7017
325,0.6818
326,0.6615
327,0.6564
328,0.6578
329,0.6444
330,0.5717
331,0.6929
332,0.676
333,0.6662
334,0.6792
335,0.6668
336,0.5931
337,0.4433
338,0.6276
339,0.5617
340,0.7589
341,0.5826
342,0.6795
343,0.6876
344,0.6657
345,0.6767
346,0.5799
347,0.5197
348,0.6968
349,0.6424
350,0.3891
351,0.0053
352,0.9953
353,0.0484
354,0.888
355,0.667
356,0.229
357,1.407
358,1.407
359,1.323
360,1.298
361,1.265
362,1.265
363,1.205
364,1.205
365,1.435
366,1.435
367,1.435
368,1.353
369,1.348
370,1.352
371,1.295
372,1.249
373,1.24
374,0.885
375,1.223
376,1.166
377,1.24
378,1.184
379,1.166
380,0.074
381,0.497
382,1.101
383,0.505
384,0.718
385,0.696
